	Correct Word	Whisper Prediction	Match	Start Time	End Time	Execution Time
48	the	so	0	20.39	20.47	47.29
49	worst	super indo-os,	0	20.47	20.78	49.53
50	loss		0	20.78	21.20	50.09
51	we	we...	0	22.04	22.27	50.65
52	had	had	1	22.27	22.52	52.70
53	some	erson.	0	22.52	22.74	55.03
54	bird	burst sound	0	22.74	22.95	57.06
55	s		0	22.95	23.07	57.65
56	eyes	lại	0	23.07	23.38	59.74
57	of		0	23.38	23.47	60.31
58	the	ech	0	23.47	23.57	62.31
59	cities	cities.	0	23.57	24.00	62.87
60	and		0	24.00	24.14	63.46
61	parks	parks	1	24.14	24.60	68.17
62	a		0	25.14	25.21	68.71
63	lot	a lot.	0	25.21	25.48	69.31
64	of		0	25.48	25.56	69.85
65	lovely	definitely	0	25.56	26.04	71.93
66	views	views.	0	26.04	26.43	72.48
67	of		0	26.43	26.51	73.01
68	streets	streets.	0	26.51	27.30	73.56
69	of		0	27.43	27.50	74.07
70	buildings	buildings.	0	27.60	28.24	74.62
71	outside	outside.	0	28.24	28.81	75.14
72	and		0	28.81	28.94	75.70
73	in	and	0	28.94	29.26	76.23
74	and		0	29.26	29.44	76.74
75	some		0	29.44	29.72	77.27
76	of		0	29.72	29.83	77.91
77	those		0	29.83	30.15	78.43
78	gorgeous	gorgeous.	0	30.23	30.72	78.95
79	gardens	warden's	0	30.72	31.28	80.87
80	and	and	1	32.05	32.21	81.39
81	most	most.	0	32.21	32.50	81.92
82	important	important.	0	32.50	32.91	82.47
83	of		0	32.91	33.00	83.01
84	all	ball.	0	33.00	33.35	83.60
85	of	if	0	34.07	34.17	85.60
86	the		0	34.17	34.26	86.14
87	women	women.	0	34.26	34.53	86.67
88	themselves	themselves.	0	34.53	35.19	87.19
89	nobody	nobody.	0	36.47	36.97	87.74
90	will	will.	0	36.97	37.28	88.27
91	ever	ever.	0	37.28	37.52	88.81
92	believe	believe.	0	37.52	37.93	89.36
93	how	health.	0	37.93	38.13	89.89
94	they	they	1	38.13	38.28	91.91
95	looked	looked.	0	38.28	38.67	92.43
96	descriptions	descriptions.	0	38.76	39.35	94.40
97	are		0	39.35	39.38	94.91
98	nt	alright.	0	39.38	39.56	95.41
99	any	any編譯	0	39.62	39.85	97.42
100	good	good.	0	39.85	40.02	99.34
101	when	went.	0	40.02	40.18	101.32
102	it		0	40.18	40.26	101.84
103	comes	comes.	0	40.26	40.64	102.39
104	to		0	40.64	40.74	102.90
105	women	women.	0	40.74	41.00	103.42
106	and		0	41.00	41.11	103.95
107	i	thanks!	0	41.11	41.21	106.62
108	never		0	41.21	41.41	107.16
109	was	.	0	41.41	41.67	109.14
110	good	good.	0	41.67	41.82	110.39
111	at		0	41.82	41.88	110.87
112	descriptions	descriptions.	0	41.88	42.45	112.88
113	anyhow	any help.	0	42.45	42.96	113.51
114	but	but...	0	43.78	43.94	114.06
115	it		0	43.94	44.00	114.67
116	s		0	44.00	44.06	115.22
117	got	moment we get on the journey. apoppping. but in the winter the mother's day we get	0	44.06	44.27	117.74
118	to		0	44.27	44.30	118.31
119	be	well officiallyant	0	44.30	44.42	120.57
120	done	done.	0	44.42	44.62	121.17
121	somehow	somehow.	0	44.62	45.11	121.87
122	the	the	1	45.34	45.45	122.54
123	rest	november.	0	45.45	45.76	124.62
124	of		0	45.76	45.84	125.18
125	the		0	45.84	45.91	125.72
126	world	world.	0	45.91	46.23	126.27
127	needs	by.	0	46.23	46.57	128.49
128	to		0	46.57	46.60	129.05
129	know	no one	0	46.60	46.82	131.22
130	about	about..	0	46.82	47.10	133.57
131	that		0	47.10	47.21	134.16
132	country	country.	0	47.21	47.74	134.71
133	i	cute, howborn	0	48.93	49.01	136.87
134	have	oh my...	0	49.01	49.21	139.15
135	nt	so	0	49.21	49.34	145.46
136	said	said.	0	49.34	49.63	146.03
137	where	and where?	0	49.63	49.87	146.74
138	it		0	49.87	49.96	147.39
139	was	was.	0	49.96	50.32	147.99
140	for	one of these translations sounds did there? that was real. i was going to play again. in the play... this was so sad. that's what i want to say. it sounds more alive. it is expensive笑.	0	50.32	50.43	151.32
141	fear	you just want to hear a loud noise and turn on your ear.	0	50.43	50.73	153.64
142	some	some.	0	50.73	51.09	154.27
143	selfappointed	self-appointed.	0	51.09	51.74	154.84
144	missionaries	missionaries.	0	51.74	52.44	155.42
145	or	...	0	52.44	52.58	157.39
146	traders	you are	0	52.58	53.18	159.30
147	or	alright.	0	53.18	53.30	161.34
148	landgreedy	land.	0	53.30	53.61	161.87
149	expansionists	greedy expansionists.	0	53.61	54.83	162.44
150	will	well,	0	54.83	54.93	164.31
151	take	ok.	0	54.93	55.14	166.23
152	it		0	55.14	55.20	166.73
153	upon	paso.	0	55.20	55.50	168.61
154	themselves	themselves.	0	55.50	55.94	169.24
155	to		0	55.94	55.98	169.76
156	push	and i'm going do a push	0	55.98	56.28	172.01
157	in	time yeah, but. bears.	0	56.28	56.63	174.17
158	they	they	1	57.57	57.75	174.77
159	will		0	57.75	57.97	175.35
160	not	not.	0	57.97	58.27	175.92
161	be	ια	0	58.27	58.48	177.85
162	wanted	wanted.	0	58.48	59.05	178.37
163	i	bye.	0	59.62	59.71	178.91
164	can	second.	0	59.71	59.85	179.43
165	tell	so without any problems usage running off your hands and answering correctly, it's land number 12 that shakes your hands?	0	59.85	60.04	181.90
166	them		0	60.04	60.24	182.57
167	that	end.	0	60.24	60.55	184.49
168	and	and...	0	60.95	61.11	185.04
169	will		0	61.11	61.22	185.59
170	fare	same	0	61.22	61.53	187.58
171	worse	worse.	0	61.53	61.90	189.44
172	than	then.	0	61.90	62.12	189.98
173	we	yeah!	0	62.12	62.29	191.93
174	did	today.	0	62.29	62.53	194.04
175	if		0	62.53	62.64	194.55
176	they	way.	0	62.64	62.78	196.60
177	do	do	1	62.78	62.97	198.51
178	find	fine.	0	62.97	63.21	199.15
179	it	the message.	0	63.21	63.42	201.24
180	it	it's...	0	65.21	65.35	201.78
181	began	begin.	0	65.35	65.72	203.71
182	this	this.	0	65.72	65.92	204.24
183	way	way.	0	65.92	66.26	204.77
184	there	there.	0	66.95	67.12	205.30
185	were		0	67.12	67.20	205.80
186	three		0	67.20	67.54	206.34
187	of		0	67.54	67.62	206.84
188	us		0	67.62	67.95	207.37
189	classmates	classmates.	0	68.15	68.71	208.20
190	and		0	68.71	68.78	208.71
191	friends	friends.	0	68.78	69.28	209.26
192	terry	terry?	0	70.01	70.39	209.79
193	o		0	70.39	70.50	210.37
194	nicholson	nicholson.	0	70.50	71.14	210.93
195	we	we...	0	71.33	71.46	211.46
196	used	please.	0	71.46	71.66	211.99
197	to		0	71.66	71.69	212.52
198	call	possible thank you	0	71.69	71.90	214.51
199	him	and	0	71.90	72.07	219.44
200	the		0	72.07	72.20	219.98
201	old	.-	0	72.20	72.38	221.84
202	nick	next.	0	72.38	72.73	222.37
203	with	let's see'	0	72.73	72.88	224.27
204	good	good.	0	72.88	73.06	224.81
205	reason	reason.	0	73.06	73.49	225.35
206	jeff	jeff.	0	74.13	74.36	225.87
207	margrave	more great!	0	74.36	74.89	227.96
208	and	and...	0	75.22	75.36	228.47
209	i	byeное.	0	75.36	75.72	230.48
210	vandyck	bandai.	0	76.06	76.46	231.01
211	jennings	jennings.	0	76.46	76.96	231.57
212	we	with	0	77.96	78.11	232.08
213	had		0	78.11	78.21	232.61
214	known	yeah...	0	78.21	78.42	234.57
215	each	page.	0	78.42	78.58	235.08
216	other		0	78.58	78.70	235.73
217	years	years.	0	78.70	79.12	237.66
218	and		0	79.12	79.21	238.29
219	years	years.	0	79.21	79.58	238.86
220	and		0	79.58	79.65	239.49
221	in		0	79.65	79.73	240.05
222	spite	rights by the	0	79.73	80.02	242.36
223	of	and it got correct.	0	80.02	80.10	244.55
224	our		0	80.10	80.22	245.12
225	differences	differences.	0	80.22	80.79	245.67
226	we		0	80.79	80.89	246.39
227	had	thank you.	0	80.89	81.04	247.00
228	a		0	81.04	81.07	247.55
229	good	good.	0	81.07	81.27	248.44
230	deal		0	81.27	81.53	249.12
231	in		0	81.53	81.63	249.70
232	common	comment.	0	81.63	82.13	250.39
233	all	of	0	82.64	82.82	250.94
234	of		0	82.82	82.89	251.52
235	us		0	82.89	83.03	252.12
236	were	thank you.	0	83.03	83.12	252.74
237	interested	interested.	0	83.12	83.54	253.32
238	in		0	83.54	83.65	253.89
239	science	science.	0	83.65	84.15	254.57
240	terry	terry.	0	85.23	85.59	255.26
241	was	were	0	85.59	85.93	257.48
242	rich	which	0	85.93	86.19	258.06
243	enough	see you next.	0	86.19	86.40	260.30
244	to	mention.	0	86.43	86.52	262.63
245	do	do doing	0	86.52	86.69	264.61
246	as	as	1	86.69	86.87	266.53
247	he		0	86.87	86.98	267.18
248	pleased	pleased.	0	86.98	87.59	267.79
249	his	his	1	87.87	88.09	268.31
250	great	great.	0	88.09	88.44	268.84
251	aim	"there why players?"""	0	88.44	88.70	270.77
252	was	was.	0	88.70	88.92	271.30
253	exploration	exploration.	0	88.92	89.69	271.82
254	he	yeah.	0	90.33	90.45	273.98
255	used	웃음. beacuse. beacuse. beacuse. be enable. beacuse.遠.	0	90.45	90.65	276.44
256	to		0	90.65	90.68	276.94
257	make	two seconds.	0	90.68	90.83	278.91
258	all		0	90.83	90.92	279.54
259	kinds	all kinds.	0	90.92	91.32	281.60
260	of	and...	0	91.32	91.41	283.67
261	a		0	91.41	91.44	284.20
262	row		0	91.44	91.68	284.75
263	because	because.	0	91.68	92.00	285.28
264	there	so	0	92.00	92.09	285.78
265	was	was.	0	92.09	92.25	287.74
266	nothing	nothing.	0	92.25	92.55	288.29
267	left	left.	0	92.55	92.79	288.79
268	to		0	92.79	92.84	289.33
269	explore	explore.	0	92.84	93.23	289.85
270	now	know.	0	93.23	93.59	291.79
271	only	only.	0	93.93	94.17	292.34
272	patchwork	patchwork.	0	94.17	94.74	292.88
273	and	ends summer in the windsmen uh..	0	94.74	94.83	294.96
274	filling	filling.	0	94.83	95.17	296.90
275	in		0	95.17	95.33	297.43
276	he	thank you.	0	95.33	95.50	298.10
277	said	said.	0	95.50	95.94	298.62
278	he	okay.	0	96.51	96.74	299.15
279	filled	좀	0	96.74	97.09	301.19
280	in		0	97.09	97.29	301.74
281	well		0	97.29	97.48	302.27
282	enough	enough.	0	97.48	97.92	302.84
283	he	if you press the button on the num z value port, please press the button on the pointer.	0	98.62	98.72	305.57
284	had	you.	0	98.72	98.88	307.66
285	a		0	98.88	98.92	308.17
286	lot	a lot.	0	98.92	99.18	308.74
287	of	lots of questions lican you say.. yeah i don't really do interest in this ambassador for it what kind of interview did you see missing you at a saturday? general göre schoer and also so...	0	99.18	99.27	311.88
288	talents	talents.	0	99.27	99.81	312.45
289	great	great.	0	100.10	100.53	312.99
290	on	on.	0	100.53	100.69	313.56
291	mechanics	mechanics.	0	100.69	101.25	314.23
292	and		0	101.25	101.32	314.86
293	electricity	electricity.	0	101.32	102.05	315.44
294	had	have a great day.	0	102.56	102.68	316.04
295	all		0	102.68	102.81	316.59
296	kinds	urat kanten ...	0	102.81	103.17	318.71
297	of		0	103.17	103.23	319.24
298	boats	boat.	0	103.23	103.63	319.78
299	and		0	103.63	103.76	320.33
300	motorcars	motorboats.	0	103.76	104.34	320.92
301	and		0	104.34	104.46	321.58
302	was		0	104.46	104.60	322.14
303	one	one.	0	104.60	104.75	322.71
304	of		0	104.75	104.81	323.24
305	the	yep	0	104.81	104.87	325.27
306	best	best.	0	104.87	105.11	325.85
307	of		0	105.11	105.18	326.39
308	our		0	105.18	105.36	326.97
309	airmen	armond.	0	105.36	105.86	329.11
310	we	the瞭 virus and the	0	106.83	107.10	335.46
311	never	never.	0	107.33	107.83	336.15
312	could	solution comparison.	0	107.94	108.04	338.46
313	have		0	108.04	108.10	339.01
314	done	done.	0	108.10	108.31	339.68
315	the		0	108.31	108.38	340.24
316	thing	thanks.	0	108.38	108.61	340.91
317	at		0	108.61	108.68	341.49
318	all	wrong.	0	108.68	109.11	342.07
319	without	without.	0	109.20	109.59	342.67
320	terry	terry.	0	109.59	110.07	343.27
321	jeff	jeff.	0	112.46	112.68	343.85
322	margrave	mark rape	0	112.68	113.18	346.05
323	was	those a them for	0	113.18	113.30	348.44
324	born	point.	0	113.30	113.55	349.01
325	to		0	113.58	113.63	349.58
326	be	today is your brother's body 한국mathре friends to understand, and	0	113.63	113.78	351.85
327	a		0	113.78	113.82	352.38
328	poet	powered.	0	113.82	114.29	353.00
329	a	in 3d murder scene.	0	114.81	114.88	355.72
330	botanist	botanist.	0	114.88	115.58	356.28
331	or		0	115.58	115.71	356.80
332	both	both.	0	115.71	116.12	357.33
333	but	bye.	0	116.12	116.30	357.90
334	his	his.	0	116.30	116.50	358.42
335	folks	fields.	0	116.50	116.79	360.37
336	persuaded	which was persuaded.	0	116.79	117.31	362.51
337	him	i'll be back in a minute...	0	117.31	117.45	364.63
338	to		0	117.50	117.55	365.13
339	be		0	117.55	117.69	365.65
340	a		0	117.69	117.72	366.17
341	doctor	dr.	0	117.72	118.10	367.29
342	instead	instead.	0	118.10	118.71	367.83
343	he	ories.	0	119.41	119.51	370.70
344	was		0	119.51	119.63	371.40
345	a		0	119.63	119.69	371.90
346	good	good�던.	0	119.69	119.87	374.08
347	one	one.	0	119.87	120.09	374.61
348	for		0	120.09	120.27	375.13
349	his	eyes?	0	120.27	120.44	377.07
350	age	stage.	0	120.44	120.87	377.60
351	but	bye.	0	121.46	121.57	378.13
352	his	please.	0	121.57	121.73	378.68
353	real	real	1	121.73	122.10	379.17
354	interest	interest.	0	122.10	122.69	379.71
355	was	bye	0	122.69	122.84	381.67
356	in		0	122.84	122.97	382.20
357	what		0	122.97	123.09	382.77
358	he	but higa.	0	123.09	123.22	384.80
359	loved	loved.	0	123.22	123.51	386.84
360	to		0	123.51	123.54	387.39
361	call	call.	0	123.54	124.08	388.00
362	the		0	124.25	124.45	388.55
363	wonders	wonders.	0	124.45	125.02	389.18
364	of	a	0	125.02	125.17	391.24
365	science	science.	0	125.17	125.86	391.84
366	as	as	1	127.28	127.50	392.41
367	for		0	127.50	127.60	393.03
368	me	for me.	0	127.60	127.95	393.67
369	sociology	sociology.	0	127.95	128.63	394.26
370	s	please.	0	128.63	128.75	394.93
371	my	might.	0	128.75	128.90	397.05
372	major	major.	0	128.90	129.28	397.63
373	you	if	0	129.75	129.92	399.85
374	have	thanks for watching!	0	129.92	130.07	402.13
375	to		0	130.07	130.10	402.70
376	back	back.	0	130.10	130.44	403.31
377	that	there.	0	130.44	130.60	405.55
378	up		0	130.60	130.73	406.09
379	with		0	130.73	130.85	406.65
380	a		0	130.85	130.88	407.19
381	lot	thank you very much.	0	130.88	131.08	407.88
382	of		0	131.08	131.17	408.42
383	other		0	131.17	131.29	409.04
384	sciences	sciences.	0	131.29	131.82	409.65
385	of		0	131.82	131.89	410.21
386	course	course.	0	131.89	132.30	410.93
387	i	and...	0	132.82	132.92	411.50
388	m	time.	0	132.92	133.11	412.08
389	interested	interested.	0	133.11	133.55	412.62
390	in		0	133.55	133.65	413.16
391	them		0	133.65	133.78	413.72
392	all		0	133.78	134.11	414.35
393	terry	terry.	0	135.65	136.01	414.94
394	was		0	136.01	136.20	415.55
395	strong	strong.	0	136.20	136.57	416.14
396	on	on.	0	136.57	136.78	416.73
397	facts	thqth	0	136.78	137.31	419.00
398	geography	geography.	0	137.55	138.36	419.68
399	and		0	138.36	138.48	420.20
400	meteorology	meteorology.	0	138.48	139.34	420.76
401	and		0	139.34	139.46	421.31
402	those		0	139.46	139.90	421.94
403	jeff	jeff.	0	140.40	140.64	422.51
404	could	good.	0	140.64	140.82	423.15
405	beat		0	140.82	141.00	423.68
406	him	him.	0	141.00	141.24	424.20
407	any	any.	0	141.32	141.56	424.72
408	time	time.	0	141.56	141.98	425.27
409	on	on the蛋 borne. ****** browse	0	141.98	142.15	427.73
410	biology	biology.	0	142.15	142.92	428.32
411	and	and...	0	143.83	143.94	428.91
412	i	alright.	0	143.94	144.07	430.97
413	did	dc you	0	144.07	144.19	433.15
414	nt	good.	0	144.19	144.33	433.69
415	care	that works out.	0	144.33	144.53	435.88
416	what	what?	0	144.53	144.75	436.48
417	it		0	144.75	144.84	437.00
418	was	was.	0	144.84	145.06	437.57
419	they	it's sticking,	0	145.06	145.16	439.77
420	talked	symptoms after痛安?	0	145.16	145.44	442.05
421	about	about.	0	145.44	145.72	442.66
422	so	so,	0	145.72	145.86	443.30
423	long	along.	0	145.86	146.08	443.95
424	as		0	146.08	146.21	444.54
425	it		0	146.21	146.31	445.13
426	connected	connected.	0	146.31	146.69	445.79
427	with	with...	0	146.69	146.83	447.86
428	human	humans.	0	146.83	147.12	448.41
429	life	like.	0	147.12	147.34	450.50
430	somehow	somehow.	0	147.34	147.85	451.08
431	there	there.	0	148.58	148.83	451.76
432	are		0	148.83	148.96	452.42
433	few	to feel.	0	148.96	149.27	454.42
434	things	things.	0	149.27	149.73	454.99
435	that		0	149.73	149.84	455.47
436	do		0	149.84	149.97	455.98
437	nt	count.	0	149.97	150.18	457.82
438	we	we.	0	151.63	151.76	459.72
439	three		0	151.76	151.85	460.27
440	had		0	151.85	151.94	460.81
441	a		0	151.94	151.99	461.42
442	chance	chance.	0	151.99	152.53	462.01
443	to		0	152.53	152.56	462.62
444	join	join you	0	152.56	152.88	464.44
445	a		0	152.88	152.93	464.89
446	big	mp1.	0	152.93	153.15	466.70
447	scientific	scientific.	0	153.15	153.84	467.20
448	expedition	expedition.	0	153.84	154.59	467.69
449	they	they	1	155.13	155.29	468.17
450	needed	needed.	0	155.29	155.58	468.65
451	a		0	155.58	155.61	469.11
452	doctor	dr.	0	155.61	156.13	470.86
453	and	and	1	156.44	156.60	471.41
454	that	able-	0	156.60	156.74	473.15
455	gave	so let's take a guess.	0	156.74	157.02	475.14
456	jeff	popeye.	0	157.02	157.32	476.99
457	an	done!	0	157.32	157.38	478.92
458	excuse	thank you.	0	157.38	157.78	480.84
459	for	thanks for watching...	0	157.78	157.93	482.94
460	dropping	dropping.	0	157.93	158.29	483.46
461	his	his	1	158.29	158.55	485.36
462	just	just...	0	158.55	158.83	486.12
463	opening	ュ a	0	158.83	159.16	487.97
464	practice	practice.	0	159.16	159.74	488.49
465	they	thank you.	0	160.33	160.43	489.09
466	needed	needed.	0	160.43	160.69	489.61
467	terry	terry.	0	160.69	160.94	490.12
468	s		0	160.94	161.04	490.64
469	experience	experience.	0	161.04	161.76	491.17
470	his	his.	0	161.85	162.03	491.72
471	machine	machine.	0	162.03	162.60	492.41
472	and	and	1	162.84	163.02	493.03
473	his	skies.	0	163.02	163.21	494.98
474	money	money.	0	163.21	163.62	495.62
475	and	and	1	164.26	164.38	496.75
476	as	yes.	0	164.38	164.56	497.55
477	for		0	164.56	164.65	498.09
478	me	for me.	0	164.65	164.95	498.66
479	i	bye.	0	165.61	165.77	499.17
480	got	guys.	0	165.77	165.98	501.08
481	in		0	165.98	166.16	501.60
482	through	through.	0	166.16	166.35	503.49
483	terry	merry christmas.	0	166.35	166.62	505.54
484	s	please.	0	166.62	166.74	506.07
485	influence	influence.	0	166.74	167.31	506.60
486	the		0	169.56	169.62	507.10
487	expedition	expedition.	0	169.62	170.39	507.65
488	was	was	1	170.39	170.54	508.18
489	up	up.	0	170.54	170.73	508.68
490	among		0	170.73	171.04	509.19
491	the		0	171.04	171.11	509.82
492	thousand	more than 3000 [#c	0	171.11	171.55	511.70
493	tributaries	tributaries.	0	171.55	172.20	512.38
494	and		0	172.20	172.28	512.98
495	enormous	enormous.	0	172.28	172.68	513.59
496	hinterland	hinterland.	0	172.68	173.25	514.19
497	of	video.	0	173.25	173.35	516.23
498	a		0	173.35	173.38	516.77
499	great	great.	0	173.38	173.65	518.87
500	river	river.	0	173.68	174.14	519.41
501	up	u	0	174.47	174.64	521.46
502	where	there with	0	174.64	175.02	522.00
503	the	the	1	175.02	175.10	524.21
504	maps	maps	1	175.10	175.50	524.69
505	had	head.	0	175.50	175.81	525.26
506	to		0	175.81	175.84	525.88
507	be	bmmm.	0	175.84	175.98	527.82
508	made	made.	0	175.98	176.40	528.33
509	savage	savage.	0	176.70	177.27	528.85
510	dialects	dialect.	0	177.27	177.82	529.40
511	studied	studied.	0	177.82	178.58	529.94
512	and	and...	0	178.97	179.13	530.52
513	all	all	1	179.13	179.38	531.09
514	manner	oh manor	0	179.38	179.77	533.22
515	of	that. that's it.	0	179.77	179.85	535.42
516	strange	strange.	0	179.85	180.32	536.12
517	flora	florik.	0	180.32	180.68	538.17
518	and	and	1	180.68	180.84	538.71
519	fauna	bonnet	0	180.84	181.20	540.66
520	expected	expected.	0	181.20	181.91	541.25
521	but	but...	0	182.90	183.09	541.84
522	this	this.	0	183.09	183.25	542.39
523	story	story.	0	183.25	183.90	542.96
524	is	is.	0	183.94	184.15	543.54
525	not	not.	0	184.15	184.60	544.11
526	about	about.	0	184.60	184.87	544.69
527	that	that.	0	184.93	185.26	545.22
528	expedition	expedition.	0	185.26	185.98	545.75
529	that	that.	0	186.68	186.89	546.36
530	was	was	1	186.89	187.07	546.93
531	only	only.	0	187.07	187.43	547.53
532	the	the	1	187.43	187.51	549.59
533	merest	nearest.	0	187.51	188.14	550.15
534	starter	starter.	0	188.14	188.68	550.70
535	for		0	188.68	188.96	551.25
536	ours	hours.	0	188.96	189.53	551.80
537	my	hey!	0	191.32	191.42	554.23
538	interest	interest.	0	191.42	191.88	554.84
539	was	too soon.	0	191.88	192.04	556.90
540	first	first.	0	192.04	192.34	559.00
541	roused	see you soon.	0	192.34	192.65	560.98
542	by	bye.	0	192.65	192.77	561.53
543	talk	talk.	0	192.77	193.10	563.99
544	among		0	193.10	193.31	564.60
545	our	her	0	193.31	193.43	566.71
546	guides	guides	1	193.43	193.98	568.91
547	i	.	0	194.42	194.50	571.53
548	m	and	0	194.50	194.59	574.42
549	quick	quick.	0	194.59	194.83	575.05
550	at		0	194.83	194.90	575.65
551	languages	languages.	0	194.90	195.62	576.25
552	know	no.	0	195.82	196.00	576.89
553	a		0	196.00	196.04	577.50
554	good	good	1	196.04	196.22	579.81
555	many	many.	0	196.22	196.64	580.82
556	and	and...	0	196.78	196.90	581.47
557	pick		0	196.90	197.11	582.12
558	them	time for peppa thinking.	0	197.11	197.25	584.37
559	up		0	197.25	197.42	584.98
560	readily	readily.	0	197.42	197.86	585.67
561	what	wellましょう	0	198.56	198.71	587.75
562	with	wayじゃあ.	0	198.71	198.91	589.93
563	that	that!	0	198.91	199.13	592.56
564	and		0	199.13	199.22	593.12
565	a		0	199.22	199.25	593.79
566	really	really	1	199.25	199.72	594.38
567	good	good.	0	199.72	199.89	596.61
568	interpreter	interpretive-	0	199.89	200.39	599.07
569	we		0	200.39	200.54	599.65
570	took	i look	0	200.54	200.80	601.83
571	with	with	1	200.80	200.99	604.00
572	us	le emotics with the university which lex nice and that feeling each of you everyone makes a very helpful content round your and you guys and what he's always	0	200.99	201.22	607.82
573	i	bye.	0	201.59	201.73	608.39
574	made	me	0	201.73	201.90	610.56
575	out	out.	0	201.90	202.05	612.69
576	quite	快	0	202.05	202.30	613.25
577	a		0	202.30	202.33	613.82
578	few	thank you.	0	202.33	202.58	614.55
579	legends	legends.	0	202.58	203.06	615.22
580	and		0	203.06	203.12	615.82
581	folk	little focused	0	203.12	203.44	618.08
582	myths	meds.	0	203.44	203.84	620.23
583	of		0	203.84	203.92	620.81
584	these	please.	0	203.92	204.09	621.38
585	scattered	scattered.	0	204.09	204.54	621.94
586	tribes	tribes.	0	204.54	205.11	622.52
587	and	and...	0	205.64	205.76	623.13
588	as	as you	0	205.76	205.95	625.16
589	we	bye.	0	205.95	206.04	627.43
590	got	and headóc.	0	206.04	206.24	630.07
591	farther	farther.	0	206.24	206.60	630.68
592	and	thanks for watching guys!	0	206.60	206.72	633.07
593	farther	far,dam.	0	206.72	207.01	635.63
594	upstream	upstream.	0	207.01	207.76	636.27
595	in	and...	0	207.91	208.02	636.99
596	a		0	208.02	208.07	637.67
597	dark	dark.	0	208.07	208.36	638.39
598	tangle	tangle.	0	208.36	208.70	639.06
599	of		0	208.70	208.80	639.66
600	rivers	rivers.	0	208.80	209.32	640.27
601	lakes	likes.	0	209.32	209.65	640.86
602	morasses	marassas.	0	209.65	210.34	641.50
603	and		0	210.34	210.45	642.08
604	dense	intense.	0	210.45	210.74	644.20
605	forests	poached forest.	0	210.74	211.40	646.29
606	with	with.	0	211.75	211.92	646.86
607	here	here.	0	211.92	212.15	647.47
608	and		0	212.15	212.28	648.09
609	there	there.	0	212.28	212.49	648.68
610	an		0	212.49	212.57	649.37
611	unexpected	unexpected.	0	212.57	213.14	651.46
612	long	long.	0	213.14	213.42	652.04
613	spur	as a	0	213.42	213.67	654.06
614	running		0	213.67	214.18	654.65
615	out	out.	0	214.18	214.37	655.23
616	from	up	0	214.37	214.56	657.27
617	the		0	214.56	214.63	657.84
618	big		0	214.63	214.82	658.40
619	mountains	mountains.	0	214.82	215.26	658.98
620	beyond	beyond.	0	215.26	215.79	659.57
621	i	bye.	0	216.49	216.66	660.25
622	noticed	i know the sun吸	0	216.66	217.05	662.34
623	that		0	217.05	217.15	662.92
624	more	more.	0	217.15	217.39	663.50
625	and	are you sure?	0	217.39	217.47	665.74
626	more	more.	0	217.47	217.70	666.33
627	of	.	0	217.70	217.77	666.99
628	these	this.	0	217.77	218.05	667.58
629	savages	groom	0	218.05	218.48	670.12
630	had	sorry.	0	218.48	218.63	672.39
631	a		0	218.63	218.66	673.00
632	story	story.	0	218.66	219.26	673.73
